Title	Year	Director	Where Seen
Jesus Christ Superstar			Netflix
The Long Goodbye			AmazonRental
Westworld			FreeXFinity
Robin Hood			HomeDVD
The Godfather 2			NetflixDVD
Young Frankenstein			Netflix
Chinatown			NetflixDVD
Rocky Horror Picture Show			Theater*
Jaws			Blockbuster
One Flew Over the Cuckoo’s Nest			Netflix
Monty Python and the Holy Grail			Blockbuster
Rocky			Netflix
All the President’s Men			NetflixDVD
Taxi Driver			Netflix
Marathon Man			Netflix
Next Stop Greenwich Village			StreamingSite
The Omen			Netflix
Annie Hall			Netflix
Star Wars Episode IV: A New Hope			NetflixDVD
Saturday Night Fever			Netflix
New York New York			StreamingSite
High Anxiety			Netflix
Grease			HomeVHS
Jaws 2			Blockbuster
Halloween			TV
Alien			Plane
Kramer v. Kramer			Netflix
Apocalypse Now			Netflix
The Muppet Movie			
Black Stallion			Netflix
Manhattan			Netflix
Life of Brian			ConorDVD
The Warriors			Netflix
Star Wars Episode V: The Empire Strikes Back			NetflixDVD
Airplane!			Blockbuster
The Blues Brothers			TV
The Shining			Netflix
Ordinary People			Netflix
Raging Bull			Nerflix
Caddyshack			HomeDVD
Dressed to Kill			AmazonRental
The Gods Must Be Crazy			Glenview Public Library
Indiana Jones and the Raiders is The Lost Ark			NetflixDVD
Stripes			Bloclbuster
Das Boot			ArimondVHS
Blade Runner(Final Cut)			AmazonRental
Diner			HCMRC
ET			Theater*
Airplane II			Blockbuster
Stars Wars Episode VI: Return of the Jedi			NetflixDVD
Risky Business			Netflix
Jaws 3-D			Blockbuster
National Lampoon’s Vacation			HomeVHS
The Outsiders			OLPH
Ghostbusters			Netflix
Indiana Jones & The temple of Doom			AmazonPrime
Sixteen Candles			TV
Terminator			Nick
This Is Spinal Tap			Netflix
The Breakfast Club			TV
Back to the Future			NetflixDVD
Pee-Wee’s Big Adventure			Blockbuster
The Black Cauldron			HomeVHS
Ferris Buellers Day Off			HomeDVD
Peggy Sue Got Married			Blockbuster
Little Shop of Horrors			HBOGo
Aliens			HBOGo
Pretty in Pink			Netflix
Predator			Nick
Spaceballs			Blockbuster
Brave Little Toaster			TV
Jaws 4			Blockbuster
Planes Trains Automobiles			Netflix
The Princess Bride			Loyola
Big			Netflix
Rain Man			Netflix
A Fish Called Wanda			Netflix
Naked Gun			Blockbuster
Land Before Time			TV
Batman			Blockbuster
Dead Poets Society			
Honey I Shrunk the Kids			
The Little Mermaid			
Bill and Ted			
When Harry Met Sally			
Back to the Future 2			
Driving Miss Daisy			
Uncle Buck			
Home Alone			
Back to the Future 3			
TMNT			
Goodfellas			
Terminator 2			
Beauty and the Beast			
Silence of the Lambs			
TMNT II			
Bill & Ted 2			
Aladdin			
Home Alone 2			
A Few Good Men			
Wayne’s World			
Reservoir Dogs			
Muppet Christmas Carol			
Alien 3			
Jurassic Park			
Schindler’s List			
Groundhog Day			
The Fugitive			
Mrs. Doubtfire			
The Nightmare Before Christmas			
Philadelphia			
Cool Runnings			
Wayne’s World 2			
The Sandlot			
Super Mario Bros.			
Rookie is the Year			
So I Married an Ax Murderer			
Lion King			
Forrest Gump			
Pulp Fiction			
Cabin Boy			
Ace Ventura			
Shawshank Redemption			
Airheads			
Léon: The Professional			
Dumb and Dumber			
The Mask.			
Toy Story			
Jumanji			
Apollo 13,Usual Suspects			
Seven			
Casper			
A Goofy Movie			
Batman Forever			
Ace Ventura 2			
Balto			
Dead Man Walking			
Waterworld			
Fargo			
Jerry Maguire			
James and the Giant Peach			
Romeo + Juliet			
Matilda			
Titanic			
Men in Black			
Jungle 2 Jungle,Austin Powers			
Batman & Robin			
FaceOff			
George of the Jungle			
Good Burger			
Good Will Hunting			
Home Alone 3			
MouseHunt			
Flubber			
Hercules			
Saving Private Ryan			
A Bug’s Life			
Shakespeare In Love			
Wag the Dog			
The Wedding Singer			
The Big Lebowski			
3 Ninjas 4			
The Truman Show			
The Parent Trap			
Rush Hour			
A Night at the Roxbury			
Rushmore			
Waterboy			
Meet Joe Black			
Rugrats Movie			
Waking Ned Devine			
A Simple Plan			
Small Soldiers			
Toy Story 2			
The Iron Giant			
Stuart Little			
American Beauty			
The Sixth Sense			
Fight Club			
The Mummy			
The Blair Witch Project			
My Favorite Martian			
Doug’s 1st Movie			
Cruel Intentions			
Austin Powers 2			
Election			
Big Daddy			
Inspector Gadget			
Pokémon			
Talented Mr. Ripley			
Emperors’ New Groove			
Gladiator			
Dinosaur			
My Dog Skip			
Shanghai Noon			
Chicken Run			
Pokémon 2000			
What Lies Beneath			
Best in Show			
Remember the Titans			
Meet the Parents			
Little Nicky			
How the Grinch Stole Christmas			
Rugrats in Paris			
Dude Where’s My Car			
Cast Away			
Finding Forrester			
O Brother Where Art Thou			
 A Beautiful Mind			
Lord of the Rings			
Ocean’s 11			
Shrek			
Harry Potter			
Monsters Inc.			
Mummy Returns			
Planet of the Apes			
Recess: School’s Out			
Memento			
Atlantis: Lost Empire			
A.I.			
Jurassic Park III			
Rush Hour 2			
Rat Race			
Zoolander			
Max Keeble’s Big Move			
Jimmy Neutron			
Spy Kids			
Chicago			
Pianist			
Catch Me If you can			
Lord of the Rings 2			
About Schmidt			
Harry Potter 2			
Minority Report			
Orange County			
John Q			
Spider-Man			
Star Wars II			
Insomnia			
Scooby-Doo			
Lilo&Stitch			
Hey Arnold! Movie			
Mr. Deeds			
Halloween Resurrection			
Austin Powers 3			
Master of Disguise			
Spy Kids 2			
Veggie Tales Movie			
Jackass Movie			
Emperor’s Club			
Treasure Planet			
Ice Age			
The Rookie			
Eight Legged Freaks			
Royal Tennenbaums			
Whale Rider			
Cheaper By The Dozen			
Lord of the Rings 3			
Elf			
School of Rock			
Spy Kids 3D			
League of Extraordinary Gentlemen			
Pirates of the Caribbean			
Charlie’s angels 2			
28 Days Later			
Hulk			
Bruce Almighty			
Anger Management			
Old School			
Bend It Like Beckham			
Phone Booth			
Shanghai Knights			
Finding Nemo			
Just Married			
Kangaroo Jack			
Holes			
Seabiscuit			
Series of Unfortunate Events			
Million Dollar Baby			
Hotel Rwanda			
National Treasure			
Spongebob Squarepants Movie			
The Incredibles			
The Princess Diaries 2			
Harold & Kumar			
Donnie Darko			
Anchorman			
Spider-Man 2			
Napoleon Dynamite			
Harry Potter 3			
The Terminal			
Dodgeball			
Shrek 2			
Super Size Me			
Secret Window			
Big Fish			
Teacher’s Pet			
Mean Girls			
Sideways			
You Got Served			
Taxi			
Miracle			
Maria Full of Grace			
Crash			
Star Wars III			
Batman Begins			
War of the Worlds			
Charlie and the Chocolate Factory			
Bad News Bears			
Corpse Bride			
Wallace & Gromit: Were-Rabbit			
Harry Potter 4			
King Kong			
Fever Pitch			
Doom			
Joyeux Noel			
Paradise Now			
Brick			
United 93			
Akeelah and the Bee			
The DaVinci Code			
Click			
Pirates 2			
You Me Dupree			
The Prestige			
Stranger Than Fiction			
Borat			
Casino Royale			
Happy Feet			
Blood Diamond			
The Departed			
Jackass 2			
Blades of Glory			
Meet the Robinsons			
Disturbia			
Hot Fuzz			
Spider-Man 3			
Once			
Shrek the Third			
Pirates 3			
Ocean’s 13			
Fantastic 4: 2			
Transformers			
Harry Potter 5			
The Simpson’s Movie			
Hot Rod			
The Bourne Ultimatum			
Superbad			
Into the Wild			
Across the Universe			
Gone Baby Gone			
No Country for Old Men			
I Am Legend			
National Treasure 2			
There Will Be Blood			
Juno			
Ratatouille			
Freedom Writers			
Hairspray			
The Dark Knight			
Slumdog Millionaire			
Benjamin Button			
Wall-E			
IronMan			
You Don’t Mess With the Zohan			
The Incredible Hulk			
Gran Torino			
The Wrestler			
In Bruges			
Nick&Norah			
Quantum of Solace			
Brothers Bloom			
Forgetting Sarah Marshall			
 Up			
Up in the Air			
Inglorious Basterds			
500 Days of Summer			
District 9			
Fantastic Mr. Fox			
Crazy Heart			
Sherlock Holmes			
Avatar			
Harry Potter 6			
Transformers 2			
The Hangover			
The Blind Side			
Invictus			
Terminator Salvation			
The Stepfather			
Inception			
Social Network			
kings speech			
shutter island			
Toy Story 3			
Scott Pilgrum vs. the World			
True Grit			
Blue Valentine			
The Town			
Harry Potter 7			
Iron Man 2			
Youth in Revolt			
Percy Jackson			
Date Night			
The Fighter			
Winter’s Bone			
The Bounty Hunter			
The Artist			
Hugo			
No Strings Attached			
Midnight in Paris			
The Muppets			
Mission Impossible: Ghost Protocol			
Captain America			
War Horse			
Rise of the Planet of the Apes			
Adjustment Bureau			
The Trip			
Harry Potter 8			
Friends With Benefits			
The Descendants			
Argo			
looper			
21 Jump Street			
Cabin in the Woods			
Dredd			
Skyfall			
Wreck-It Ralph			
Avengers			
Dark Knight Rises			
Django Unchained			
Lés Miserables			
Zero Dark Thirty			
Les Intouchables			
The Vow			
Ted			
Quartet			
Prometheus			
Nebraska			
Philomena			
Olympus Has Fallen			
Mud			
Inside Llewyn Davis			
Her			
Wolf of Wall Street			
12 Years a Slave			
Epic			
Great Gatsby			
Man of Steel			
Despicable Me 2			
The Way Way Back			
Turbo			
The Butler			
The World’s End			
Cloudy With a Chance of Meatballs			
Gravity			
All is Lost			
Frozen			
American Hustle			
Lone Survivor			
Boyhood			
Gone Girl			
Calvary			
Edge of Tomorrow			
Theory of Everything			
The LEGO Movie			
22 Jump Street			
Whiplash			
Selma			
Captain America 2			
Imitation Game			
Grand Budapest Hotel			
Dawn of the Planet of the Apes			
Skeleton Twins			
Birdman			
We Are the Best			
Snowpiercer			
American Sniper			
Pride			
Guardians of the Galaxy			
A Most Wanted Man			
Jack Ryan: Shadow Recruit			
Teenage Mutant NinjaTurtles			
Begin Again			
The Trip to Italy			
Interstellar			
Peabody and Sherman			
Get on Up			
Big Hero 6			
Unbroken			
Dear White People			
Wild			
Nightcrawler			
X-Men: Days Of Future Past			
Ex Machina 			
Mad Max			
Pitch Perfect 2			
Jurassic World			
Inside Out			
Dope			
Love & Mercy			
Mr. Holmes			
Straight Outta Compton			
Ant Man			
Me Earl and the Dying Girl			
Mission Impossible: Rogue Nation			
The Gift			
Spectre			
The Martian			
Star Wars Episode VII: The Force Awakens			
The Good Dinosaur			
What We Do in the Shadows			
Avengers 2: Age of Ultron			
Creed			
Trainwreck			
Hateful 8			
Tangerine			
Revenant			
Big Short			
Spotlight			
Kingsmen: The Secret Service			
Chi Raq			
Room			
End of the Tour			
Carol			
Brooklyn			
Elle			
Don't Think Twice			
Split			
The Founder			
Doctor Strange			
Tower			
Sausage Party			
Southside With You			
Arrival			
Batman vs. Superman: Dawn of Justice			
Finding Dory			
X-Men Apocalypse			
Suicide Squad			
Kubo and the Two Strings			
Fantastic Beasts and Where to Find Them			
Rogue One			
Jungle Book			
Hail			
Caesar!			
Other People			
Sing Street			
Moana			
Deadpool			
Silence			
Hunt for the Wilderpeople			
The Lobster			
Captain America: Civil War			
Fences			
La La Land			
Sully			
Hell or High Water			
Lion			
Zootopia			
Hidden Figures			
Manchester By The Sea			
Moonlight			
Get Out			
Logan			
Wonder Woman			
The Lego Batman Movie			
Beauty & the Beast			
The Little Hours			
The Big Sick			
Dunkirk			
Baby Driver			
Spider-Man: Homecoming			
Detroit			
Logan Lucky			
Good Time			
It			
Wind River			
The Meyerowitz Stories: New and Selected			
The Florida Project			
Lady Bird			
Three Billboards outside Ebbing			
Missouri			
Guardians of the Galaxy 2			
Star Wars Episode VIII: The Last Jedi			
Kong: Skull Island			
A Ghost Story			
War for the Planet of the Apes			
The Trip to Spain			
Lady Macbeth			
The Beguiled			
Brad’s Status			
Okja			
Ingrid Goes West			
Columbus			
Shape of Water			
The Darkest Hour			
Call Me By Your Name			
The Post			
Sanctuary			
American Made			
Mudbound			
Phantom Thread			
Lost City of Z			
Disaster Artist			
Prof. Marston and the Wonder Women			
Marshall			
Justice League			
Jumanji: Welcome to the Jungle			
Coco			
